"id","createdAt","userUid","boothId"
188,"2023-08-26 11:08:48.723939",zPZG789HT9hb8Z9T7p2n3MTsQeh2,6
189,"2023-08-26 11:09:17.289187","18zUQLVPvfV6XT6fl7f2tqdak1n1",1
190,"2023-08-26 11:09:41.280574",nH9x5JsvhqXKntYkeyqMZ8krGJ12,6
191,"2023-08-26 11:10:12.363778",d6L3mzExP4RtmRZXahI1PXKmQyz1,1
192,"2023-08-26 11:10:41.684995",DwP2HccK7ZfPKBwKebvgh8n3LMx2,6
193,"2023-08-26 11:10:50.728392",ZG69uitoVQUqU57AO2SqsTUvTlg2,9
194,"2023-08-26 11:11:23.574798",SCz3il9738S9PP0DIPSDwCF45n12,6
195,"2023-08-26 11:11:32.059549",ouXWWbj7AKQ6iXVTuZ5c3Gu4lys2,6
196,"2023-08-26 11:11:33.497013",KHopWx7zAvXcrMYtU3H2vHNXTtd2,6
197,"2023-08-26 11:12:04.815518",qOp6k2NFYZVbc3h6bs9j11Dbr0u1,6
198,"2023-08-26 11:12:05.919318",qOp6k2NFYZVbc3h6bs9j11Dbr0u1,6
199,"2023-08-26 11:12:30.064440","3CTPs4TXGwSZbtALqnMPGAQXIOW2",9
200,"2023-08-26 11:12:57.784903",OmqCEIWGV1M0Q1COdcylat3KbyC2,6
201,"2023-08-26 11:13:16.197819",U6pnU2RsgUQldK9u8QS0smNhDW23,9
202,"2023-08-26 11:14:52.899712",c1eDeVxVCybE6w8kVR545tAUVtW2,1
203,"2023-08-26 11:15:08.404861","1KutKbqopggy5BiSNUeNBpBYLjp1",6
204,"2023-08-26 11:15:18.055620",v0ogqexdSzP8fCLIewfoRlOopkH3,1
205,"2023-08-26 11:16:01.815035",Y5sGMb4hPeQVaIlyA9ihlYE86Kg1,1
206,"2023-08-26 11:16:08.104170",LJsCqISZEJQOeYmCtjzKxmwlZEd2,6
207,"2023-08-26 11:16:48.701164","0wdYV2kDbrVv0yZCPMarUOcYCdW2",6
208,"2023-08-26 11:16:49.215809","0wdYV2kDbrVv0yZCPMarUOcYCdW2",6
209,"2023-08-26 11:16:49.883455","0wdYV2kDbrVv0yZCPMarUOcYCdW2",6
210,"2023-08-26 11:17:54.573750",tlJgeFilHmRRq5VUjqE4Pus2kg42,6
211,"2023-08-26 11:18:16.440990",av1S7zSb2vUBNCmU8B6FKFnhGIj2,2
212,"2023-08-26 11:19:02.268855",LtckXAd2yXVFe6CrY5KE9gSiVps2,2
213,"2023-08-26 11:19:26.877933",QZf3mv5VhMVH6GOOmwVgkQZOLdK2,2
214,"2023-08-26 11:19:37.749537",LtckXAd2yXVFe6CrY5KE9gSiVps2,4
215,"2023-08-26 11:19:42.402953",QZf3mv5VhMVH6GOOmwVgkQZOLdK2,4
216,"2023-08-26 11:20:34.363531",mhWXoX6EVXdqBAcOo41iJI9kJrJ2,6
217,"2023-08-26 11:21:02.458212",ZGeTi08IX2MrSLjWam0rWtAAuUw2,1
218,"2023-08-26 11:21:49.643301",DwP2HccK7ZfPKBwKebvgh8n3LMx2,10
219,"2023-08-26 11:21:55.092561",DwP2HccK7ZfPKBwKebvgh8n3LMx2,10
220,"2023-08-26 11:22:12.668091",fGfzwH7KcjcZGgGsywv7avQJaMV2,10
221,"2023-08-26 11:22:43.373251","4px2yytBgSUVoNM4s39wgi4dohw2",10
222,"2023-08-26 11:22:46.107617",gBsv7YzqxpNDgqkud8RAlv1cffR2,10
223,"2023-08-26 11:23:14.994909",ebtnd3sX2NZJIG5VDOwpR8oqR8k2,6
224,"2023-08-26 11:23:15.563310",ebtnd3sX2NZJIG5VDOwpR8oqR8k2,6
225,"2023-08-26 11:23:16.503947",ebtnd3sX2NZJIG5VDOwpR8oqR8k2,6
226,"2023-08-26 11:23:20.482461",djm2WfPkP9fR90RY7Mc1hlPYQkV2,10
227,"2023-08-26 11:23:42.226991",jyGSIYUjFxMmfziFT691XAVdATL2,1
228,"2023-08-26 11:24:30.169205",lk65wT7X6uewDgtOiG60RXloQU13,1
229,"2023-08-26 11:24:44.821902",uDTQzyGr9gYpHAhV3I9nD5wHSZe2,1
230,"2023-08-26 11:25:19.385859",wVzBw42jIAV180ZmXUoCo35Uvnw2,4
231,"2023-08-26 11:25:26.137867","3CTPs4TXGwSZbtALqnMPGAQXIOW2",10
232,"2023-08-26 11:25:30.786395",ZIOXfu6DUCTrH5OC3gPZhedV5To1,10
233,"2023-08-26 11:25:38.403295",Y6PCGqXak5W1I9DDkg7CYIt268A3,10
234,"2023-08-26 11:25:39.122071",Y6PCGqXak5W1I9DDkg7CYIt268A3,10
235,"2023-08-26 11:26:06.682150",TtcTB5ToIlPB4G0rZOLBdZjqJh82,1
236,"2023-08-26 11:26:21.306537",ebRe3G52sHYQyobkaCVocF68JHY2,1
237,"2023-08-26 11:26:22.154917",NIdHqMFEqjMqicFjifoGZZ7ZGG12,4
238,"2023-08-26 11:26:28.284334",LdugvUzNNdV9edPQpEJjNOODjF03,10
239,"2023-08-26 11:26:43.993996",JufbImP5jVXTgnExREXijv0w2Cg1,4
240,"2023-08-26 11:27:11.481975",IWTHivOzaLWeElEOMyi56OWTP5f1,2
241,"2023-08-26 11:27:16.253640",e9JacjIKO2aX48Cx9f7aNHF7Dcn2,2
242,"2023-08-26 11:27:30.544634",GIK1ibzId1h2HsfbPcWDgWqr6Eg2,1
243,"2023-08-26 11:28:25.684949",vU8MORE94nSlcFSniShrHuvZcLk1,7
244,"2023-08-26 11:28:40.855238",yDzidYV1Fpbej7QaQSMwKQEa1bt2,1
245,"2023-08-26 11:28:56.284675",VvUo6nQvLNWMWM7jCjjIbQqbszw2,1
